Part ID,Value,Package,Stock Code,Layer,Rotation,X,Y
C12,100nF,0603_CAP,C77055,TOP,270,-3909.45,3733.72
C9,100nF,0603_CAP,C77055,TOP,270,-3909.45,3611.67
R7,10k,0603_RES,C73809,TOP,-90,-3909.45,3462.06
R9,10k,0603_RES,C73809,TOP,270,-3814.96,3458.13
R4,10k,0603_RES,C73809,TOP,270,-3720.47,3462.06
U24,LM358B,SO8,,TOP,270,-5167.91,1366
U19,LM358B,SO8,,TOP,270,-5116.73,1980.18
U16,TL431,SOT23-3,,TOP,270,-4895.57,1989.76
U21,TL431,SOT23-3,,TOP,270,-4994.19,1346.46
U22,ICL7660,SOIC127P600X180-8,,TOP,270,-4852.95,2261.81
U25,ICL7660,SOIC127P600X180-8,,TOP,270,-4783.66,1305.12
U20,LM317LF,SOT89,,TOP,0,-5118.11,2326.52
U23,LM317LF,SOT89,,TOP,0,-4783.52,1580.19
D4,1N4001,SMA,,TOP,90,-4578.74,1665.53
D6,1N4001,SMA,,TOP,90,-4578.74,1945.06
C10,10uF,CAPC3216X105,Digikey PCC1794TR-ND,TOP,180,-5309.06,2050
C15,10uF,CAPC3216X105,Farnell 317-287,TOP,270,-4850,2540.94
C16,10uF,CAPC3216X105,Farnell 317-287,TOP,270,-4681.1,2334.65
C29,10uF,CAPC3216X105,Digikey PCC1794TR-ND,TOP,90,-4992.13,1555.12
C32,10uF,CAPC3216X105,Farnell 317-287,TOP,180,-4959.06,1750
C33,10uF,CAPC3216X105,Farnell 317-287,TOP,0,-5177.17,1594.49
C30,100nF,1206_CAP,Farnell 578-277,TOP,0,-4938,2850
C36,100n,1206_CAP,Farnell 499-390,TOP,0,-4638,2150
C1,100nF,0603_CAP,Digikey PCC1794TR-ND,TOP,180,-5284,2450
C2,100nF,0603_CAP,Digikey PCC1794TR-ND,TOP,0,-5266,2150
C3,100nF,0603_CAP,Digikey PCC1794TR-ND,TOP,270,-5450,2416
C6,100nF,0603_CAP,Digikey PCC1794TR-ND,TOP,270,-5450,2566
C13,100nF,0603_CAP,Farnell 578-277,TOP,90,-3800,3084
C14,100nF,0603_CAP,Digikey PCC1794TR-ND,TOP,90,-5400,3084
C17,100n,0603_CAP,Farnell 499-390,TOP,270,-5000,2466
C19,100nF,0603_CAP,Digikey PCC1794TR-ND,TOP,180,-5434,1550
C20,100nF,0603_CAP,Digikey PCC1794TR-ND,TOP,90,-5220.47,1753.4
C27,100nF,0603_CAP,Digikey PCC1794TR-ND,TOP,180,-5134,1800
C28,100nF,0603_CAP,Digikey PCC1794TR-ND,TOP,0,-5266,1850
C31,100nF,0603_CAP,Digikey PCC1794TR-ND,TOP,180,-3834,3000
R11,10k,0603_RES,,TOP,90,-5400,1934
R29,100,0603_RES,,TOP,180,-4986.76,1251.97
R37,10k,0603_RES,,TOP,90,-4750,1934
R46,10k,0603_RES,,TOP,90,-4450,2184
R58,10k,0603_RES,,TOP,180,-5434,1150
R65,100,0603_RES,,TOP,90,-4574.8,1486.76
R71,1.8K,0603_RES,,TOP,270,-3650,2816
R55,1K,0603_RES,,TOP,180,-3834,2850
R78,1K,0603_RES,,TOP,180,-3984,3000
R19,4.7K,0603_RES,C305317,TOP,180,-3984,2850
R53,10k,0603_RES,,TOP,0,-4916,2700
R76,51K,0603_RES,,TOP,0,-3766,2650
R77,10k,0603_RES,,TOP,270,-3350,2816
D3,LED-RED,LEDC1608X60,C375458,TOP,90,-5232.28,1122.05
D5,LED-RED,LEDC1608X60,C375458,TOP,-270,-5129.92,1122.05
R17,4.7K,0603_RES,C305317,TOP,180,-4584,3350
R20,4.7K,0603_RES,C305317,TOP,180,-4584,3500
R47,10,0603_RES,,TOP,270,-4800,2716
R48,1.8K,0603_RES,,TOP,90,-4600,2484
R49,240,0603_RES,,TOP,0,-4516,2300
R52,51K,0603_RES,,TOP,0,-4516,2500
R66,10k,0603_RES,,TOP,180,-4784,1800
R70,10k,0603_RES,,TOP,180,-4584,2750
R72,240,0603_RES,,TOP,180,-4434,2750
R73,10,0603_RES,,TOP,180,-4384,2500
R38,20K,0603_RES,,TOP,90,-4350,2584
R43,2K,0603_RES,,TOP,270,-4350,2716
R45,10k,0603_RES,,TOP,270,-4350,2966
R50,22,0603_RES,,TOP,0,-4516,2800
R51,15K,0603_RES,,TOP,0,-4516,2950
R67,20K,0603_RES,,TOP,270,-4250,2466
R68,2K,0603_RES,,TOP,90,-4350,2834
R69,10k,0603_RES,,TOP,180,-4584,3150
R74,22,0603_RES,,TOP,0,-4216,2800
R75,15K,0603_RES,,TOP,0,-4216,2550
